emotion,intensity,socialInteraction,productivity,overwhelmed,RId
stressed,2,rarely,unsure,yes,stressed2
stressed,2,rarely,unsure,no,stressed2
stressed,2,occasionally,yes,yes,stressed4
stressed,2,occasionally,yes,no,stressed2
stressed,2,occasionally,no,yes,stressed3
stressed,2,occasionally,no,no,stressed2
stressed,2,occasionally,unsure,yes,stressed2
stressed,2,occasionally,unsure,no,stressed4
stressed,2,frequently,yes,yes,stressed2
stressed,2,frequently,yes,no,stressed2
stressed,2,frequently,no,yes,stressed2
stressed,2,frequently,no,no,stressed2
stressed,2,frequently,unsure,yes,stressed2
stressed,2,frequently,unsure,no,stressed2
stressed,3,rarely,yes,yes,stressed2
stressed,3,rarely,yes,no,stressed2
stressed,3,rarely,no,yes,stressed2
stressed,3,rarely,no,no,stressed2
stressed,3,rarely,unsure,yes,stressed2
stressed,3,rarely,unsure,no,stressed2
stressed,3,occasionally,yes,yes,stressed2
stressed,3,occasionally,yes,no,stressed2
stressed,3,occasionally,no,yes,stressed4
stressed,3,occasionally,no,no,stressed2
stressed,3,occasionally,unsure,yes,stressed3
stressed,3,occasionally,unsure,no,stressed4
stressed,3,frequently,yes,yes,stressed2
stressed,3,frequently,yes,no,stressed2
stressed,3,frequently,no,yes,stressed2
stressed,3,frequently,no,no,stressed2
stressed,3,frequently,unsure,yes,stressed2
stressed,3,frequently,unsure,no,stressed2
stressed,4,rarely,yes,yes,stressed3
stressed,4,rarely,yes,no,stressed3
stressed,4,rarely,no,yes,stressed4
stressed,4,rarely,no,no,stressed3
stressed,4,rarely,unsure,yes,stressed3
stressed,4,rarely,unsure,no,stressed3
stressed,4,occasionally,yes,yes,stressed3
stressed,4,occasionally,yes,no,stressed3
stressed,4,occasionally,no,yes,stressed3
stressed,4,occasionally,no,no,stressed4
stressed,4,occasionally,unsure,yes,stressed3
stressed,4,occasionally,unsure,no,stressed3
stressed,4,frequently,yes,yes,stressed2
stressed,4,frequently,yes,no,stressed3
stressed,4,frequently,no,yes,stressed3
stressed,4,frequently,no,no,stressed5
stressed,4,frequently,unsure,yes,stressed3
stressed,4,frequently,unsure,no,stressed3
stressed,5,rarely,yes,yes,stressed3
stressed,5,rarely,yes,no,stressed3
stressed,5,rarely,no,yes,stressed3
stressed,5,rarely,no,no,stressed3
stressed,5,rarely,unsure,yes,stressed3
stressed,5,rarely,unsure,no,stressed5
stressed,5,occasionally,yes,yes,stressed3
stressed,5,occasionally,yes,no,stressed3
stressed,5,occasionally,no,yes,stressed4
stressed,5,occasionally,no,no,stressed3
stressed,5,occasionally,unsure,yes,stressed3
stressed,5,occasionally,unsure,no,stressed3
stressed,5,frequently,yes,yes,stressed3
stressed,5,frequently,yes,no,stressed3
stressed,5,frequently,no,yes,stressed5
stressed,5,frequently,no,no,stressed3
stressed,5,frequently,unsure,yes,stressed3
stressed,5,frequently,unsure,no,stressed3
stressed,6,rarely,yes,yes,stressed4
stressed,6,rarely,yes,no,stressed4
stressed,6,rarely,no,yes,stressed4
stressed,6,rarely,no,no,stressed4
stressed,6,rarely,unsure,yes,stressed4
stressed,6,rarely,unsure,no,stressed4
stressed,6,occasionally,yes,yes,stressed2
stressed,6,occasionally,yes,no,stressed4
stressed,6,occasionally,no,yes,stressed4
stressed,6,occasionally,no,no,stressed4
stressed,6,occasionally,unsure,yes,stressed4
stressed,6,occasionally,unsure,no,stressed4
stressed,6,frequently,yes,yes,stressed4
stressed,6,frequently,yes,no,stressed4
stressed,6,frequently,no,yes,stressed4
stressed,6,frequently,no,no,stressed4
stressed,6,frequently,unsure,yes,stressed4
stressed,6,frequently,unsure,no,stressed4
stressed,7,rarely,yes,yes,stressed5
stressed,7,rarely,yes,no,stressed4
stressed,7,rarely,no,yes,stressed5
stressed,7,rarely,no,no,stressed4
stressed,7,rarely,unsure,yes,stressed2
stressed,7,rarely,unsure,no,stressed4
stressed,7,occasionally,yes,yes,stressed4
stressed,7,occasionally,yes,no,stressed4
stressed,7,occasionally,no,yes,stressed4
stressed,7,occasionally,no,no,stressed4
stressed,7,occasionally,unsure,yes,stressed4
stressed,7,occasionally,unsure,no,stressed4
stressed,7,frequently,yes,yes,stressed4
stressed,7,frequently,yes,no,stressed1
stressed,7,frequently,no,yes,stressed4
stressed,7,frequently,no,no,stressed4
stressed,7,frequently,unsure,yes,stressed4
stressed,7,frequently,unsure,no,stressed2
stressed,8,rarely,yes,yes,stressed5
stressed,8,rarely,yes,no,stressed5
stressed,8,rarely,no,yes,stressed5
stressed,8,rarely,no,no,stressed5
stressed,8,rarely,unsure,yes,stressed2
stressed,8,rarely,unsure,no,stressed5
stressed,8,occasionally,yes,yes,stressed5
stressed,8,occasionally,yes,no,stressed2
stressed,8,occasionally,no,yes,stressed5
stressed,8,occasionally,no,no,stressed5
stressed,8,occasionally,unsure,yes,stressed5
stressed,8,occasionally,unsure,no,stressed5
stressed,8,frequently,yes,yes,stressed5
stressed,8,frequently,yes,no,stressed5
stressed,8,frequently,no,yes,stressed5
stressed,8,frequently,no,no,stressed5
stressed,8,frequently,unsure,yes,stressed5
stressed,8,frequently,unsure,no,stressed5
stressed,9,rarely,yes,yes,stressed5
stressed,9,rarely,yes,no,stressed5
stressed,9,rarely,no,yes,stressed5
stressed,9,rarely,no,no,stressed5
stressed,9,rarely,unsure,yes,stressed5
stressed,9,rarely,unsure,no,stressed5
stressed,9,occasionally,yes,yes,stressed5
stressed,9,occasionally,yes,no,stressed5
stressed,9,occasionally,no,yes,stressed5
stressed,9,occasionally,no,no,stressed5
stressed,9,occasionally,unsure,yes,stressed5
stressed,9,occasionally,unsure,no,stressed5
stressed,9,frequently,yes,yes,stressed5
stressed,9,frequently,yes,no,stressed5
stressed,9,frequently,no,yes,stressed5
stressed,9,frequently,no,no,stressed5
stressed,9,frequently,unsure,yes,stressed5
stressed,9,frequently,unsure,no,stressed1
stressed,10,rarely,yes,yes,stressed1
stressed,10,rarely,yes,no,stressed5
stressed,10,rarely,no,yes,stressed5
stressed,10,rarely,no,no,stressed3
stressed,10,rarely,unsure,yes,stressed5
stressed,10,rarely,unsure,no,stressed3
stressed,10,occasionally,yes,yes,stressed5
stressed,10,occasionally,yes,no,stressed3
stressed,10,occasionally,no,yes,stressed3
stressed,10,occasionally,no,no,stressed5
stressed,10,occasionally,unsure,yes,stressed5
stressed,10,occasionally,unsure,no,stressed5
stressed,10,frequently,yes,yes,stressed5
stressed,10,frequently,yes,no,stressed5
stressed,10,frequently,no,yes,stressed5
stressed,10,frequently,no,no,stressed5
stressed,10,frequently,unsure,yes,stressed5
stressed,10,frequently,unsure,no,stressed1
anxious,1,rarely,yes,yes,anxious1
anxious,1,rarely,yes,no,anxious1
anxious,1,rarely,no,yes,anxious1
anxious,1,rarely,no,no,anxious1
anxious,1,rarely,unsure,yes,anxious1
anxious,1,rarely,unsure,no,anxious1
anxious,1,occasionally,yes,yes,anxious1
anxious,1,occasionally,yes,no,anxious1
anxious,1,occasionally,no,yes,anxious1
anxious,1,occasionally,no,no,anxious1
anxious,1,occasionally,unsure,yes,anxious1
anxious,1,occasionally,unsure,no,anxious1
anxious,1,frequently,yes,yes,anxious1
anxious,1,frequently,yes,no,anxious1
anxious,1,frequently,no,yes,anxious1
anxious,1,frequently,no,no,anxious3
anxious,1,frequently,unsure,yes,anxious1
anxious,1,frequently,unsure,no,anxious4
anxious,2,rarely,yes,yes,anxious2
anxious,2,rarely,yes,no,anxious2
anxious,2,rarely,no,yes,anxious3
anxious,2,rarely,no,no,anxious2
anxious,2,rarely,unsure,yes,anxious2
anxious,2,rarely,unsure,no,anxious2
anxious,2,occasionally,yes,yes,anxious2
anxious,2,occasionally,yes,no,anxious2
anxious,2,occasionally,no,yes,anxious2
anxious,2,occasionally,no,no,anxious2
anxious,2,occasionally,unsure,yes,anxious5
anxious,2,occasionally,unsure,no,anxious2
anxious,2,frequently,yes,yes,anxious2
anxious,2,frequently,yes,no,anxious2
anxious,2,frequently,no,yes,anxious5
anxious,2,frequently,no,no,anxious2
anxious,2,frequently,unsure,yes,anxious2
anxious,2,frequently,unsure,no,anxious2
anxious,3,rarely,yes,yes,anxious2
anxious,3,rarely,yes,no,anxious2
anxious,3,rarely,no,yes,anxious2
anxious,3,rarely,no,no,anxious2
anxious,3,rarely,unsure,yes,anxious2
anxious,3,rarely,unsure,no,anxious2
anxious,3,occasionally,yes,yes,anxious2
anxious,3,occasionally,yes,no,anxious2
anxious,3,occasionally,no,yes,anxious2
anxious,3,occasionally,no,no,anxious2
anxious,3,occasionally,unsure,yes,anxious2
anxious,3,occasionally,unsure,no,anxious2
anxious,3,frequently,yes,yes,anxious2
anxious,3,frequently,yes,no,anxious2
anxious,3,frequently,no,yes,anxious2
anxious,3,frequently,no,no,anxious2
anxious,3,frequently,unsure,yes,anxious2
anxious,3,frequently,unsure,no,anxious2
anxious,4,rarely,yes,yes,anxious1
anxious,4,rarely,yes,no,anxious3
anxious,4,rarely,no,yes,anxious3
anxious,4,rarely,no,no,anxious3
anxious,4,rarely,unsure,yes,anxious3
anxious,4,rarely,unsure,no,anxious3
anxious,4,occasionally,yes,yes,anxious3
anxious,4,occasionally,yes,no,anxious3
anxious,4,occasionally,no,yes,anxious3
anxious,4,occasionally,no,no,anxious3
anxious,4,occasionally,unsure,yes,anxious3
anxious,4,occasionally,unsure,no,anxious3
anxious,4,frequently,yes,yes,anxious3
anxious,4,frequently,yes,no,anxious3
anxious,4,frequently,no,yes,anxious3
anxious,4,frequently,no,no,anxious3
anxious,4,frequently,unsure,yes,anxious3
anxious,4,frequently,unsure,no,anxious1
anxious,5,rarely,yes,yes,anxious3
anxious,5,rarely,yes,no,anxious3
anxious,5,rarely,no,yes,anxious1
anxious,5,rarely,no,no,anxious3
anxious,5,rarely,unsure,yes,anxious3
anxious,5,rarely,unsure,no,anxious3
anxious,5,occasionally,yes,yes,anxious2
anxious,5,occasionally,yes,no,anxious1
anxious,5,occasionally,no,yes,anxious3
anxious,5,occasionally,no,no,anxious4
anxious,5,occasionally,unsure,yes,anxious3
anxious,5,occasionally,unsure,no,anxious1
anxious,5,frequently,yes,yes,anxious3
anxious,5,frequently,yes,no,anxious3
anxious,5,frequently,no,yes,anxious3
anxious,5,frequently,no,no,anxious3
anxious,5,frequently,unsure,yes,anxious3
anxious,5,frequently,unsure,no,anxious3
anxious,6,rarely,yes,yes,anxious4
anxious,6,rarely,yes,no,anxious4
anxious,6,rarely,no,yes,anxious4
anxious,6,rarely,no,no,anxious4
anxious,6,rarely,unsure,yes,anxious4
anxious,6,rarely,unsure,no,anxious5
anxious,6,occasionally,yes,yes,anxious4
anxious,6,occasionally,yes,no,anxious4
anxious,6,occasionally,no,yes,anxious4
anxious,6,occasionally,no,no,anxious5
anxious,6,occasionally,unsure,yes,anxious4
anxious,6,occasionally,unsure,no,anxious4
anxious,6,frequently,yes,yes,anxious5
anxious,6,frequently,yes,no,anxious4
anxious,6,frequently,no,yes,anxious4
anxious,6,frequently,no,no,anxious2
anxious,6,frequently,unsure,yes,anxious4
anxious,6,frequently,unsure,no,anxious1
anxious,7,rarely,yes,yes,anxious4
anxious,7,rarely,yes,no,anxious5
anxious,7,rarely,no,yes,anxious3
anxious,7,rarely,no,no,anxious4
anxious,7,rarely,unsure,yes,anxious4
anxious,7,rarely,unsure,no,anxious4
anxious,7,occasionally,yes,yes,anxious4
anxious,7,occasionally,yes,no,anxious4
anxious,7,occasionally,no,yes,anxious4
anxious,7,occasionally,no,no,anxious4
anxious,7,occasionally,unsure,yes,anxious4
anxious,7,occasionally,unsure,no,anxious4
anxious,7,frequently,yes,yes,anxious4
anxious,7,frequently,yes,no,anxious1
anxious,7,frequently,no,yes,anxious4
anxious,7,frequently,no,no,anxious4
anxious,7,frequently,unsure,yes,anxious4
anxious,7,frequently,unsure,no,anxious4
anxious,8,rarely,yes,yes,anxious5
anxious,8,rarely,yes,no,anxious5
anxious,8,rarely,no,yes,anxious5
anxious,8,rarely,no,no,anxious5
anxious,8,rarely,unsure,yes,anxious5
anxious,8,rarely,unsure,no,anxious5
anxious,8,occasionally,yes,yes,anxious5
anxious,8,occasionally,yes,no,anxious5
anxious,8,occasionally,no,yes,anxious5
anxious,8,occasionally,no,no,anxious5
anxious,8,occasionally,unsure,yes,anxious5
anxious,8,occasionally,unsure,no,anxious5
anxious,8,frequently,yes,yes,anxious5
anxious,8,frequently,yes,no,anxious5
anxious,8,frequently,no,yes,anxious5
anxious,8,frequently,no,no,anxious5
anxious,8,frequently,unsure,yes,anxious2
anxious,8,frequently,unsure,no,anxious5
anxious,9,rarely,yes,yes,anxious5
anxious,9,rarely,yes,no,anxious3
anxious,9,rarely,no,yes,anxious5
anxious,9,rarely,no,no,anxious5
anxious,9,rarely,unsure,yes,anxious5
anxious,9,rarely,unsure,no,anxious2
anxious,9,occasionally,yes,yes,anxious5
anxious,9,occasionally,yes,no,anxious5
anxious,9,occasionally,no,yes,anxious5
anxious,9,occasionally,no,no,anxious5
anxious,9,occasionally,unsure,yes,anxious5
anxious,9,occasionally,unsure,no,anxious5
anxious,9,frequently,yes,yes,anxious5
anxious,9,frequently,yes,no,anxious5
anxious,9,frequently,no,yes,anxious5
anxious,9,frequently,no,no,anxious5
anxious,9,frequently,unsure,yes,anxious5
anxious,9,frequently,unsure,no,anxious5
anxious,10,rarely,yes,yes,anxious5
anxious,10,rarely,yes,no,anxious5
anxious,10,rarely,no,yes,anxious5
anxious,10,rarely,no,no,anxious5
anxious,10,rarely,unsure,yes,anxious2
anxious,10,rarely,unsure,no,anxious4
anxious,10,occasionally,yes,yes,anxious5
anxious,10,occasionally,yes,no,anxious5
anxious,10,occasionally,no,yes,anxious5
anxious,10,occasionally,no,no,anxious1
anxious,10,occasionally,unsure,yes,anxious5
anxious,10,occasionally,unsure,no,anxious5
anxious,10,frequently,yes,yes,anxious4
anxious,10,frequently,yes,no,anxious5
anxious,10,frequently,no,yes,anxious5
anxious,10,frequently,no,no,anxious5
anxious,10,frequently,unsure,yes,anxious5
anxious,10,frequently,unsure,no,anxious5
angry,1,rarely,yes,yes,angry1
angry,1,rarely,yes,no,angry1
angry,1,rarely,no,yes,angry3
angry,1,rarely,no,no,angry1
angry,1,rarely,unsure,yes,angry1
angry,1,rarely,unsure,no,angry1
angry,1,occasionally,yes,yes,angry1
angry,1,occasionally,yes,no,angry1
angry,1,occasionally,no,yes,angry1
angry,1,occasionally,no,no,angry1
angry,1,occasionally,unsure,yes,angry1
angry,1,occasionally,unsure,no,angry2
angry,1,frequently,yes,yes,angry2
angry,1,frequently,yes,no,angry1
angry,1,frequently,no,yes,angry4
angry,1,frequently,no,no,angry1
angry,1,frequently,unsure,yes,angry5
angry,1,frequently,unsure,no,angry1
angry,2,rarely,yes,yes,angry2
angry,2,rarely,yes,no,angry2
angry,2,rarely,no,yes,angry5
angry,2,rarely,no,no,angry2
angry,2,rarely,unsure,yes,angry2
angry,2,rarely,unsure,no,angry2
angry,2,occasionally,yes,yes,angry2
angry,2,occasionally,yes,no,angry2
angry,2,occasionally,no,yes,angry2
angry,2,occasionally,no,no,angry2
angry,2,occasionally,unsure,yes,angry2
angry,2,occasionally,unsure,no,angry2
angry,2,frequently,yes,yes,angry2
angry,2,frequently,yes,no,angry2
angry,2,frequently,no,yes,angry2
angry,2,frequently,no,no,angry2
angry,2,frequently,unsure,yes,angry2
angry,2,frequently,unsure,no,angry2
angry,3,rarely,yes,yes,angry2
angry,3,rarely,yes,no,angry4
angry,3,rarely,no,yes,angry2
angry,3,rarely,no,no,angry2
angry,3,rarely,unsure,yes,angry2
angry,3,rarely,unsure,no,angry2
angry,3,occasionally,yes,yes,angry2
angry,3,occasionally,yes,no,angry2
angry,3,occasionally,no,yes,angry2
angry,3,occasionally,no,no,angry2
angry,3,occasionally,unsure,yes,angry2
angry,3,occasionally,unsure,no,angry2
angry,3,frequently,yes,yes,angry2
angry,3,frequently,yes,no,angry2
angry,3,frequently,no,yes,angry1
angry,3,frequently,no,no,angry2
angry,3,frequently,unsure,yes,angry1
angry,3,frequently,unsure,no,angry2
angry,4,rarely,yes,yes,angry3
angry,4,rarely,yes,no,angry2
angry,4,rarely,no,yes,angry3
angry,4,rarely,no,no,angry3
angry,4,rarely,unsure,yes,angry3
angry,4,rarely,unsure,no,angry3
angry,4,occasionally,yes,yes,angry3
angry,4,occasionally,yes,no,angry3
angry,4,occasionally,no,yes,angry3
angry,4,occasionally,no,no,angry3
angry,4,occasionally,unsure,yes,angry3
angry,4,occasionally,unsure,no,angry3
angry,4,frequently,yes,yes,angry1
angry,4,frequently,yes,no,angry3
angry,4,frequently,no,yes,angry3
angry,4,frequently,no,no,angry3
angry,4,frequently,unsure,yes,angry3
angry,4,frequently,unsure,no,angry1
angry,5,rarely,yes,yes,angry3
angry,5,rarely,yes,no,angry3
angry,5,rarely,no,yes,angry4
angry,5,rarely,no,no,angry3
angry,5,rarely,unsure,yes,angry5
angry,5,rarely,unsure,no,angry3
angry,5,occasionally,yes,yes,angry3
angry,5,occasionally,yes,no,angry3
angry,5,occasionally,no,yes,angry3
angry,5,occasionally,no,no,angry5
angry,5,occasionally,unsure,yes,angry3
angry,5,occasionally,unsure,no,angry3
angry,5,frequently,yes,yes,angry3
angry,5,frequently,yes,no,angry3
angry,5,frequently,no,yes,angry3
angry,5,frequently,no,no,angry3
angry,5,frequently,unsure,yes,angry3
angry,5,frequently,unsure,no,angry3
angry,6,rarely,yes,yes,angry4
angry,6,rarely,yes,no,angry4
angry,6,rarely,no,yes,angry4
angry,6,rarely,no,no,angry4
angry,6,rarely,unsure,yes,angry4
angry,6,rarely,unsure,no,angry4
angry,6,occasionally,yes,yes,angry4
angry,6,occasionally,yes,no,angry1
angry,6,occasionally,no,yes,angry2
angry,6,occasionally,no,no,angry4
angry,6,occasionally,unsure,yes,angry4
angry,6,occasionally,unsure,no,angry4
angry,6,frequently,yes,yes,angry4
angry,6,frequently,yes,no,angry4
angry,6,frequently,no,yes,angry4
angry,6,frequently,no,no,angry5
angry,6,frequently,unsure,yes,angry1
angry,6,frequently,unsure,no,angry4
angry,7,rarely,yes,yes,angry4
angry,7,rarely,yes,no,angry4
angry,7,rarely,no,yes,angry4
angry,7,rarely,no,no,angry4
angry,7,rarely,unsure,yes,angry4
angry,7,rarely,unsure,no,angry5
angry,7,occasionally,yes,yes,angry4
angry,7,occasionally,yes,no,angry4
angry,7,occasionally,no,yes,angry4
angry,7,occasionally,no,no,angry4
angry,7,occasionally,unsure,yes,angry4
angry,7,occasionally,unsure,no,angry4
angry,7,frequently,yes,yes,angry4
angry,7,frequently,yes,no,angry4
angry,7,frequently,no,yes,angry4
angry,7,frequently,no,no,angry4
angry,7,frequently,unsure,yes,angry4
angry,7,frequently,unsure,no,angry4
angry,8,rarely,yes,yes,angry5
angry,8,rarely,yes,no,angry5
angry,8,rarely,no,yes,angry5
angry,8,rarely,no,no,angry2
angry,8,rarely,unsure,yes,angry5
angry,8,rarely,unsure,no,angry5
angry,8,occasionally,yes,yes,angry5
angry,8,occasionally,yes,no,angry5
angry,8,occasionally,no,yes,angry5
angry,8,occasionally,no,no,angry5
angry,8,occasionally,unsure,yes,angry5
angry,8,occasionally,unsure,no,angry5
angry,8,frequently,yes,yes,angry5
angry,8,frequently,yes,no,angry5
angry,8,frequently,no,yes,angry5
angry,8,frequently,no,no,angry5
angry,8,frequently,unsure,yes,angry5
angry,8,frequently,unsure,no,angry5
angry,9,rarely,yes,yes,angry4
angry,9,rarely,yes,no,angry5
angry,9,rarely,no,yes,angry5
angry,9,rarely,no,no,angry5
angry,9,rarely,unsure,yes,angry5
angry,9,rarely,unsure,no,angry5
angry,9,occasionally,yes,yes,angry5
angry,9,occasionally,yes,no,angry5
angry,9,occasionally,no,yes,angry5
angry,9,occasionally,no,no,angry5
angry,9,occasionally,unsure,yes,angry1
angry,9,occasionally,unsure,no,angry5
angry,9,frequently,yes,yes,angry5
angry,9,frequently,yes,no,angry5
angry,9,frequently,no,yes,angry5
angry,9,frequently,no,no,angry5
angry,9,frequently,unsure,yes,angry5
angry,9,frequently,unsure,no,angry3
angry,10,rarely,yes,yes,angry4
angry,10,rarely,yes,no,angry3
angry,10,rarely,no,yes,angry5
angry,10,rarely,no,no,angry1
angry,10,rarely,unsure,yes,angry5
angry,10,rarely,unsure,no,angry5
angry,10,occasionally,yes,yes,angry5
angry,10,occasionally,yes,no,angry4
angry,10,occasionally,no,yes,angry5
angry,10,occasionally,no,no,angry5
angry,10,occasionally,unsure,yes,angry5
angry,10,occasionally,unsure,no,angry5
angry,10,frequently,yes,yes,angry5
angry,10,frequently,yes,no,angry5
angry,10,frequently,no,yes,angry5
angry,10,frequently,no,no,angry1
angry,10,frequently,unsure,yes,angry5
angry,10,frequently,unsure,no,angry5
